atoms,sample_len,interaction_time,atom_distance,geometry,encoding,waveform,nbr_atoms,edge_size,QFIMrank
9,1,16,4,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,16,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,16,4,grid_lattice,both,Constant,NaN,Nan,1
9,1,16,5,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,16,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,16,5,grid_lattice,both,Constant,NaN,Nan,1
9,1,16,10,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,16,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,16,10,grid_lattice,both,Constant,NaN,Nan,1
9,1,16,15,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,16,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,16,15,grid_lattice,both,Constant,NaN,Nan,1
9,1,20,4,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,20,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,20,4,grid_lattice,both,Constant,NaN,Nan,1
9,1,20,5,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,20,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,20,5,grid_lattice,both,Constant,NaN,Nan,1
9,1,20,10,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,20,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,20,10,grid_lattice,both,Constant,NaN,Nan,1
9,1,20,15,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,20,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,20,15,grid_lattice,both,Constant,NaN,Nan,1
9,1,30,4,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,30,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,30,4,grid_lattice,both,Constant,NaN,Nan,1
9,1,30,5,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,30,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,30,5,grid_lattice,both,Constant,NaN,Nan,1
9,1,30,10,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,30,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,30,10,grid_lattice,both,Constant,NaN,Nan,1
9,1,30,15,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,30,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,30,15,grid_lattice,both,Constant,NaN,Nan,1
9,1,100,4,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,100,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,100,4,grid_lattice,both,Constant,NaN,Nan,1
9,1,100,5,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,100,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,100,5,grid_lattice,both,Constant,NaN,Nan,1
9,1,100,10,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,100,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,100,10,grid_lattice,both,Constant,NaN,Nan,1
9,1,100,15,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,100,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,100,15,grid_lattice,both,Constant,NaN,Nan,1
9,1,1000,4,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,1000,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,1000,4,grid_lattice,both,Constant,NaN,Nan,1
9,1,1000,5,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,1000,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,1000,5,grid_lattice,both,Constant,NaN,Nan,1
9,1,1000,10,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,1000,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,1000,10,grid_lattice,both,Constant,NaN,Nan,1
9,1,1000,15,grid_lattice,amplitude,Constant,NaN,Nan,1
9,1,1000,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,1,1000,15,grid_lattice,both,Constant,NaN,Nan,1
9,2,16,4,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,16,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,16,4,grid_lattice,both,Constant,NaN,Nan,2
9,2,16,5,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,16,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,16,5,grid_lattice,both,Constant,NaN,Nan,2
9,2,16,10,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,16,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,16,10,grid_lattice,both,Constant,NaN,Nan,2
9,2,16,15,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,16,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,16,15,grid_lattice,both,Constant,NaN,Nan,2
9,2,20,4,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,20,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,20,4,grid_lattice,both,Constant,NaN,Nan,2
9,2,20,5,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,20,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,20,5,grid_lattice,both,Constant,NaN,Nan,2
9,2,20,10,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,20,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,20,10,grid_lattice,both,Constant,NaN,Nan,2
9,2,20,15,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,20,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,20,15,grid_lattice,both,Constant,NaN,Nan,2
9,2,30,4,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,30,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,30,4,grid_lattice,both,Constant,NaN,Nan,2
9,2,30,5,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,30,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,30,5,grid_lattice,both,Constant,NaN,Nan,2
9,2,30,10,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,30,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,30,10,grid_lattice,both,Constant,NaN,Nan,2
9,2,30,15,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,30,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,30,15,grid_lattice,both,Constant,NaN,Nan,2
9,2,100,4,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,100,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,100,4,grid_lattice,both,Constant,NaN,Nan,2
9,2,100,5,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,100,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,100,5,grid_lattice,both,Constant,NaN,Nan,2
9,2,100,10,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,100,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,100,10,grid_lattice,both,Constant,NaN,Nan,2
9,2,100,15,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,100,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,100,15,grid_lattice,both,Constant,NaN,Nan,2
9,2,1000,4,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,1000,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,1000,4,grid_lattice,both,Constant,NaN,Nan,2
9,2,1000,5,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,1000,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,1000,5,grid_lattice,both,Constant,NaN,Nan,2
9,2,1000,10,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,1000,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,1000,10,grid_lattice,both,Constant,NaN,Nan,2
9,2,1000,15,grid_lattice,amplitude,Constant,NaN,Nan,2
9,2,1000,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,2,1000,15,grid_lattice,both,Constant,NaN,Nan,2
9,3,16,4,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,16,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,16,4,grid_lattice,both,Constant,NaN,Nan,3
9,3,16,5,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,16,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,16,5,grid_lattice,both,Constant,NaN,Nan,3
9,3,16,10,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,16,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,16,10,grid_lattice,both,Constant,NaN,Nan,3
9,3,16,15,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,16,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,16,15,grid_lattice,both,Constant,NaN,Nan,3
9,3,20,4,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,20,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,20,4,grid_lattice,both,Constant,NaN,Nan,3
9,3,20,5,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,20,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,20,5,grid_lattice,both,Constant,NaN,Nan,3
9,3,20,10,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,20,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,20,10,grid_lattice,both,Constant,NaN,Nan,3
9,3,20,15,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,20,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,20,15,grid_lattice,both,Constant,NaN,Nan,3
9,3,30,4,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,30,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,30,4,grid_lattice,both,Constant,NaN,Nan,3
9,3,30,5,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,30,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,30,5,grid_lattice,both,Constant,NaN,Nan,3
9,3,30,10,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,30,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,30,10,grid_lattice,both,Constant,NaN,Nan,3
9,3,30,15,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,30,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,30,15,grid_lattice,both,Constant,NaN,Nan,3
9,3,100,4,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,100,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,100,4,grid_lattice,both,Constant,NaN,Nan,3
9,3,100,5,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,100,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,100,5,grid_lattice,both,Constant,NaN,Nan,3
9,3,100,10,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,100,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,100,10,grid_lattice,both,Constant,NaN,Nan,3
9,3,100,15,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,100,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,100,15,grid_lattice,both,Constant,NaN,Nan,3
9,3,1000,4,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,1000,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,1000,4,grid_lattice,both,Constant,NaN,Nan,3
9,3,1000,5,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,1000,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,1000,5,grid_lattice,both,Constant,NaN,Nan,3
9,3,1000,10,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,1000,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,1000,10,grid_lattice,both,Constant,NaN,Nan,3
9,3,1000,15,grid_lattice,amplitude,Constant,NaN,Nan,3
9,3,1000,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,3,1000,15,grid_lattice,both,Constant,NaN,Nan,3
9,4,16,4,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,16,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,16,4,grid_lattice,both,Constant,NaN,Nan,4
9,4,16,5,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,16,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,16,5,grid_lattice,both,Constant,NaN,Nan,4
9,4,16,10,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,16,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,16,10,grid_lattice,both,Constant,NaN,Nan,4
9,4,16,15,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,16,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,16,15,grid_lattice,both,Constant,NaN,Nan,4
9,4,20,4,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,20,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,20,4,grid_lattice,both,Constant,NaN,Nan,4
9,4,20,5,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,20,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,20,5,grid_lattice,both,Constant,NaN,Nan,4
9,4,20,10,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,20,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,20,10,grid_lattice,both,Constant,NaN,Nan,4
9,4,20,15,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,20,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,20,15,grid_lattice,both,Constant,NaN,Nan,4
9,4,30,4,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,30,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,30,4,grid_lattice,both,Constant,NaN,Nan,4
9,4,30,5,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,30,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,30,5,grid_lattice,both,Constant,NaN,Nan,4
9,4,30,10,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,30,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,30,10,grid_lattice,both,Constant,NaN,Nan,4
9,4,30,15,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,30,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,30,15,grid_lattice,both,Constant,NaN,Nan,4
9,4,100,4,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,100,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,100,4,grid_lattice,both,Constant,NaN,Nan,4
9,4,100,5,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,100,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,100,5,grid_lattice,both,Constant,NaN,Nan,4
9,4,100,10,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,100,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,100,10,grid_lattice,both,Constant,NaN,Nan,4
9,4,100,15,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,100,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,100,15,grid_lattice,both,Constant,NaN,Nan,4
9,4,1000,4,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,1000,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,1000,4,grid_lattice,both,Constant,NaN,Nan,4
9,4,1000,5,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,1000,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,1000,5,grid_lattice,both,Constant,NaN,Nan,4
9,4,1000,10,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,1000,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,1000,10,grid_lattice,both,Constant,NaN,Nan,4
9,4,1000,15,grid_lattice,amplitude,Constant,NaN,Nan,4
9,4,1000,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,4,1000,15,grid_lattice,both,Constant,NaN,Nan,4
9,5,16,4,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,16,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,16,4,grid_lattice,both,Constant,NaN,Nan,5
9,5,16,5,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,16,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,16,5,grid_lattice,both,Constant,NaN,Nan,5
9,5,16,10,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,16,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,16,10,grid_lattice,both,Constant,NaN,Nan,5
9,5,16,15,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,16,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,16,15,grid_lattice,both,Constant,NaN,Nan,5
9,5,20,4,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,20,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,20,4,grid_lattice,both,Constant,NaN,Nan,5
9,5,20,5,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,20,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,20,5,grid_lattice,both,Constant,NaN,Nan,5
9,5,20,10,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,20,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,20,10,grid_lattice,both,Constant,NaN,Nan,5
9,5,20,15,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,20,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,20,15,grid_lattice,both,Constant,NaN,Nan,5
9,5,30,4,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,30,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,30,4,grid_lattice,both,Constant,NaN,Nan,5
9,5,30,5,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,30,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,30,5,grid_lattice,both,Constant,NaN,Nan,5
9,5,30,10,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,30,10,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,30,10,grid_lattice,both,Constant,NaN,Nan,5
9,5,30,15,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,30,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,30,15,grid_lattice,both,Constant,NaN,Nan,5
9,5,100,4,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,100,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,100,4,grid_lattice,both,Constant,NaN,Nan,5
9,5,100,5,grid_lattice,amplitude,Constant,NaN,Nan,5
9,5,100,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,5,100,5,grid_lattice,both,Constant,NaN,Nan,5
9,5,100,10,grid_lattice,amplitude,Constant,NaN,Nan,5
